source_record_id,source_type,pdf_page_number,printed_page_number,chapter_id,section_id,source_locator,semantic_class,confidence,verification_status,notes
CH1-NOTE-001,note,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,NOTE,HIGH,UNVERIFIED,
CH1-NOTE-002,note,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,NOTE,HIGH,UNVERIFIED,
CH1-PE-001,page_element,6,1,CH1,CAL-SEC-ch1,calc_pdf_p6,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Chapter 1 heading
CH1-PE-002,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,Section 1.1 design conditions heading
CH1-PE-003,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,道路規格: A規格
CH1-PE-004,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,設計速度: V=40km/h
CH1-PE-005,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,活荷重: B活荷重
CH1-PE-006,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,"橋梁形式: 鋼3径間連続少数鈑桁橋(非合成桁,合成断面担保)"
CH1-PE-007,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,橋長: 134.001m (ACL上)
CH1-PE-008,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,桁長: 133.151m (ACL上)
CH1-PE-009,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,支間長: 40.201m + 51.000m + 40.200m (ACL上)
CH1-PE-010,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,総幅員: 8.010m
CH1-PE-011,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,有効幅員: 7.000m (車道幅)
CH1-PE-012,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,"斜角: PU15:ACLに θ=94°14′27″ , PR1,PR2,A2:ACLに θ=90°00′00″"
CH1-PE-013,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,平面線形: 起点側から R=160m(終点側に左まわり)～R=3000(終点側に右まわり)
CH1-PE-014,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,縦断勾配: i=6.000%(起点下がり) VCL=100 i=0.100%(終点下がり)
CH1-PE-015,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,横断勾配: 起点側から i=5.000%(左下がり)～i=2.000%(右下がり)～i=2.958%(右下がり)
CH1-PE-016,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,舗装: アスファルト舗装 t=80mm
CH1-PE-017,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,床版: 鋼コンクリート合成床版 t=230mm
CH1-PE-018,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,大型車交通量: 379台/日･方向
CH1-PE-019,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,設計水平震度: レベル1:kh=0.25 レベル2:動的解析法による
CH1-PE-020,page_element,7,2,CH1,CAL-SEC-1.1,calc_pdf_p7,UNKNOWN_REQUIRES_REVIEW,HIGH,UNVERIFIED,"使用材料: 鋼材 SM520,SM490Y,SM400,SS400"
