source_record_id,pdf_page_number,title_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CH1-TBL-001,10,主桁支間長,1,AG1,40291.5,40291.5,mm,40291.5,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-002,10,主桁支間長,1,AG2,40020.1,40020.1,mm,40020.1,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-003,10,主桁支間長,2,AG1,50974.5,50974.5,mm,50974.5,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-004,10,主桁支間長,2,AG2,51051.0,51051.0,mm,51051.0,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-005,10,主桁支間長,3,AG1,40287.1,40287.1,mm,40287.1,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-006,10,主桁支間長,3,AG2,40025.9,40025.9,mm,40025.9,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-007,10,主桁格間長,1,AG1,5344.0,5344.0,mm,5344.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-008,10,主桁格間長,1,AG2,5020.1,5020.1,mm,5020.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-009,10,主桁格間長,2,AG1,4992.5,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-010,10,主桁格間長,2,AG2,5000.0,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-011,10,主桁格間長,3,AG1,4992.5,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-012,10,主桁格間長,3,AG2,5000.0,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-013,10,主桁格間長,4,AG1,4992.5,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
