source_record_id,pdf_page_number,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CH1-TBL-001,10,主桁支間長,40291.5,mm,40291.5,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-002,10,主桁支間長,40020.1,mm,40020.1,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-003,10,主桁支間長,50974.5,mm,50974.5,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-004,10,主桁支間長,51051.0,mm,51051.0,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-005,10,主桁支間長,40287.1,mm,40287.1,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-006,10,主桁支間長,40025.9,mm,40025.9,mm,span_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-007,10,主桁格間長,5344.0,mm,5344.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-008,10,主桁格間長,5020.1,mm,5020.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-009,10,主桁格間長,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-010,10,主桁格間長,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-011,10,主桁格間長,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-012,10,主桁格間長,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-013,10,主桁格間長,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-014,10,主桁格間長,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-015,10,主桁格間長,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-016,10,主桁格間長,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-017,10,主桁格間長,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-018,10,主桁格間長,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-019,10,主桁格間長,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-020,10,主桁格間長,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-021,10,主桁格間長,4992.5,mm,4992.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-022,10,主桁格間長,5000.0,mm,5000.0,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-023,10,主桁格間長,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-024,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-025,10,主桁格間長,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-026,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-027,10,主桁格間長,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-028,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-029,10,主桁格間長,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-030,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-031,10,主桁格間長,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-032,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-033,10,主桁格間長,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-034,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-035,10,主桁格間長,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-036,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-037,10,主桁格間長,5097.5,mm,5097.5,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-038,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-039,10,主桁格間長,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-040,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-041,10,主桁格間長,5097.4,mm,5097.4,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-042,10,主桁格間長,5105.1,mm,5105.1,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-043,10,主桁格間長,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-044,10,主桁格間長,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-045,10,主桁格間長,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-046,10,主桁格間長,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-047,10,主桁格間長,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-048,10,主桁格間長,5102.2,mm,5102.2,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
CH1-TBL-049,10,主桁格間長,5094.6,mm,5094.6,mm,panel_length,calc_pdf_p10,HIGH,UNVERIFIED
