candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
SM-055,ENT-GIRDER-AG1,structural_model,member.AG1,member_id,AG1,,AG1,,NOR-011,"DWG-MEM-AG1,MEMID-001",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Main girder AG1
SM-056,ENT-GIRDER-AG2,structural_model,member.AG2,member_id,AG2,,AG2,,NOR-011,"DWG-MEM-AG2,MEMID-002",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Main girder AG2
SM-057,ENT-XBEAM-GE1,structural_model,member.GE1,member_id,GE1,,GE1,,NOR-011,"DWG-MEM-GE1,MEMID-003",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,End cross beam GE1
SM-058,ENT-XBEAM-GE2,structural_model,member.GE2,member_id,GE2,,GE2,,NOR-011,"DWG-MEM-GE2,MEMID-004",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,End cross beam GE2
SM-059,ENT-XBEAM-C1C7,structural_model,member.C1-C7,member_id,C1-C7,,C1-C7,,NOR-011,"DWG-MEM-C1C7,MEMID-009",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Intermediate cross beams C1-C7
SM-060,ENT-XBEAM-C8C13,structural_model,member.C8-C13,member_id,C8-C13,,C8-C13,,NOR-011,"DWG-MEM-C8C13,MEMID-010",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Intermediate cross beams C8-C13
SM-061,ENT-XBEAM-C14C20,structural_model,member.C14-C20,member_id,C14-C20,,C14-C20,,NOR-011,"DWG-MEM-C14C20,MEMID-011",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Intermediate cross beams C14-C20
SM-062,ENT-XBEAM-C21C23,structural_model,member.C21-C23,member_id,C21-C23,,C21-C23,,NOR-011,"DWG-MEM-C21C23,MEMID-012",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Intermediate cross beams C21-C23
SM-063,ENT-BRACE-AL1,structural_model,member.A-L1,member_id,A-L1,,A-L1,,NOR-011,"DWG-MEM-AL1,MEMID-013",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Lateral bracing A-L1
SM-064,ENT-BRACE-AL2,structural_model,member.A-L2,member_id,A-L2,,A-L2,,NOR-011,"DWG-MEM-AL2,MEMID-014",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Lateral bracing A-L2
SM-065,ENT-STUD,structural_model,member.STUD,member_id,STUD,,STUD,,NOR-011,"DWG-MEM-STUD,MEMID-015",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Head stud phi22
SM-066,ENT-STIFF-VSTIFF,structural_model,member.V-STIFF,member_id,V-STIFF,,V-STIFF,,NOR-011,"DWG-MEM-VSTIFF,MEMID-016",,DWG-S011,HIGH,UNVERIFIED,DRAWING_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,Vertical stiffener
