entity_id,description,source_record_ids
ENT-LINE-ACL,"Grid model: 54 nodes (1001-1027, 2001-2027), 52 beam elements, 27 support elements","STRMOD-001,STRMOD-009,CAL-NOT-P00145-001"
ENT-GIRDER-AG1,Main girder AG1,DWG-MEM-AG1
ENT-GIRDER-AG2,Main girder AG2,DWG-MEM-AG2
ENT-XBEAM-GE1,End cross beam GE1,DWG-MEM-GE1
ENT-XBEAM-GE2,End cross beam GE2,DWG-MEM-GE2
ENT-XBEAM-C1C7,Intermediate cross beams C1-C7,DWG-MEM-C1C7
ENT-XBEAM-C8C13,Intermediate cross beams C8-C13,DWG-MEM-C8C13
ENT-XBEAM-C14C20,Intermediate cross beams C14-C20,DWG-MEM-C14C20
ENT-XBEAM-C21C23,Intermediate cross beams C21-C23,DWG-MEM-C21C23
ENT-BRACE-AL1,Lateral bracing A-L1,DWG-MEM-AL1
ENT-BRACE-AL2,Lateral bracing A-L2,DWG-MEM-AL2
ENT-STUD,Head stud phi22,DWG-MEM-STUD
ENT-STIFF-VSTIFF,Vertical stiffener,DWG-MEM-VSTIFF
ENT-STIFF-JACKSTIFF,Jack-up stiffener,DWG-MEM-JACKSTIFF
ENT-SOLEPL,Sole plate,DWG-MEM-SOLEPL
ENT-NOSE,Nose section,DWG-MEM-NOSE
ENT-NOSE-HNO1,Nose section H-NO1,DWG-MEM-HNO1
ENT-SUPPORT-PU15,Support S1 (PU15),DWG-MEM-S1
ENT-SUPPORT-AR2,Support S2 (AR2),DWG-MEM-S2
ENT-SUPPORT-PR1,Pier support PR1,DWG-MEM-PR1
ENT-SUPPORT-PR2,Pier support PR2,DWG-MEM-PR2
