candidate_id,entity_id,candidate_layer,field_path_candidate,semantic_class,raw_value,raw_unit,normalized_value,normalized_unit,normalization_rule_id,source_record_ids,calculation_locator,drawing_locator,confidence,verification_status,parity_status,adoption_status,issue_id,conflict_id,human_confirmation_id,phase3_action,notes
SM-001,ENT-GIRDER-AG1,structural_model,node.1001.coordinate,COORDINATE,"X=1.21766 m, Y=1.47689 m",,"X=1.21766 m, Y=1.47689 m",,NOR-011,"CAL-TBL-P00141-001,CAL-TBL-P00141-002,CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p141,,HIGH,UNVERIFIED,CALC_ONLY,CANDIDATE_ONLY,,,,GOLDEN_ELIGIBLE,"Node 1001 coordinate (X=1.21766 m, Y=1.47689 m)"
SM-002,ENT-GIRDER-AG1,structural_model,node.1002.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1002 coordinate not extracted in Phase 2-I
SM-003,ENT-GIRDER-AG1,structural_model,node.1003.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1003 coordinate not extracted in Phase 2-I
SM-004,ENT-GIRDER-AG1,structural_model,node.1004.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1004 coordinate not extracted in Phase 2-I
SM-005,ENT-GIRDER-AG1,structural_model,node.1005.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1005 coordinate not extracted in Phase 2-I
SM-006,ENT-GIRDER-AG1,structural_model,node.1006.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1006 coordinate not extracted in Phase 2-I
SM-007,ENT-GIRDER-AG1,structural_model,node.1007.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1007 coordinate not extracted in Phase 2-I
SM-008,ENT-GIRDER-AG1,structural_model,node.1008.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1008 coordinate not extracted in Phase 2-I
SM-009,ENT-GIRDER-AG1,structural_model,node.1009.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1009 coordinate not extracted in Phase 2-I
SM-010,ENT-GIRDER-AG1,structural_model,node.1010.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1010 coordinate not extracted in Phase 2-I
SM-011,ENT-GIRDER-AG1,structural_model,node.1011.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1011 coordinate not extracted in Phase 2-I
SM-012,ENT-GIRDER-AG1,structural_model,node.1012.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1012 coordinate not extracted in Phase 2-I
SM-013,ENT-GIRDER-AG1,structural_model,node.1013.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1013 coordinate not extracted in Phase 2-I
SM-014,ENT-GIRDER-AG1,structural_model,node.1014.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1014 coordinate not extracted in Phase 2-I
SM-015,ENT-GIRDER-AG1,structural_model,node.1015.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1015 coordinate not extracted in Phase 2-I
SM-016,ENT-GIRDER-AG1,structural_model,node.1016.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1016 coordinate not extracted in Phase 2-I
SM-017,ENT-GIRDER-AG1,structural_model,node.1017.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1017 coordinate not extracted in Phase 2-I
SM-018,ENT-GIRDER-AG1,structural_model,node.1018.coordinate,UNKNOWN_REQUIRES_REVIEW,,,,,NONE,"CAL-FIG-P00142-001,STRMOD-003",calc_pdf_p142,,UNKNOWN,UNVERIFIED,CALC_ONLY,HUMAN_CONFIRMATION_REQUIRED,,,,HUMAN_VALIDATION,Node 1018 coordinate not extracted in Phase 2-I
