item_id,source_locator,item,confidence,verification_status,notes
DR-141,DWG-S141,drawing.sheet.141,MEDIUM,PARTIAL,[drawing] Drawing sheet 141 (erection_plan).
DR-1593,DWG-S141-V01,drawing.view.DWG-VW-S141-001,MEDIUM,PARTIAL,[drawing] Drawing view type 'plan'.
DR-1646,DWG-S141,drawing.annotation.DWG-ANO-S141-001,MEDIUM,PARTIAL,[drawing] Drawing annotation type 'verification_note'.
DR-1955,DWG-S141,drawing.title_block.DWG-TB-S141-001,MEDIUM,PARTIAL,[drawing] Title block field '図面の種類'.
DR-1956,DWG-S141,drawing.title_block.DWG-TB-S141-002,MEDIUM,PARTIAL,[drawing] Title block field '図面番号'.
DR-1974,DWG-S141,drawing.view.S141-V01,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR view; scale S=1:500.
DR-1975,DWG-S141,drawing.view.S141-V02,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR view; scale S=1:500.
DR-1976,DWG-S141,drawing.view.S141-V03,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR view; scale S=1:200.
DR-1977,DWG-S141,drawing.view.S141-V04,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR view; scale n/a.
DR-1978,DWG-S141,drawing.dimension.S141-D01,MEDIUM,PARTIAL,[drawing]
DR-1979,DWG-S141,drawing.dimension.S141-D02,MEDIUM,PARTIAL,[drawing]
DR-1980,DWG-S141,drawing.dimension.S141-D03,MEDIUM,PARTIAL,[drawing]
DR-1981,DWG-S141,drawing.dimension.S141-D04,MEDIUM,PARTIAL,[drawing] matches CF-003
DR-1982,DWG-S141,drawing.dimension.S141-D05,LOW,PARTIAL,[drawing] last digit uncertain V001
DR-1983,DWG-S141,drawing.dimension.S141-D06,MEDIUM,PARTIAL,[drawing] crane position 1
DR-1984,DWG-S141,drawing.dimension.S141-D07,MEDIUM,PARTIAL,[drawing] crane position 2
DR-1985,DWG-S141,drawing.dimension.S141-D08,MEDIUM,PARTIAL,[drawing]
DR-1986,DWG-S141,drawing.dimension.S141-D09,MEDIUM,PARTIAL,[drawing]
DR-1987,DWG-S141,drawing.dimension.S141-D10,MEDIUM,PARTIAL,[drawing] FW/L IP+13.60
DR-1988,DWG-S141,drawing.dimension.S141-D11,MEDIUM,PARTIAL,[drawing]
DR-1989,DWG-S141,drawing.annotation.S141-A01,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR annotation type 'ERECTION_BLOCK'.
DR-1990,DWG-S141,drawing.annotation.S141-A02,LOW,PARTIAL,[drawing] Sheet 141 OCR annotation type 'CITY_ROAD'.
DR-1991,DWG-S141,drawing.annotation.S141-A03,LOW,PARTIAL,[drawing] Sheet 141 OCR annotation type 'NOTE'.
DR-1992,DWG-S141,drawing.annotation.S141-A04,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR annotation type 'CRANE'.
DR-1993,DWG-S141,drawing.annotation.S141-A05,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR annotation type 'CRANE_MACHINE'.
DR-1994,DWG-S141,drawing.annotation.S141-A06,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR annotation type 'PIER'.
DR-1995,DWG-S141,drawing.annotation.S141-E01,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR element: Drawing title.
DR-1996,DWG-S141,drawing.annotation.S141-E02,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR element: 図の種類.
DR-1997,DWG-S141,drawing.annotation.S141-E03,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR element: Road route.
DR-1998,DWG-S141,drawing.annotation.S141-E04,LOW,PARTIAL,[drawing] Sheet 141 OCR element: Construction location.
DR-1999,DWG-S141,drawing.annotation.S141-E05,MEDIUM,PARTIAL,[drawing] Sheet 141 OCR element: Sheet number.
