trace_id,drawing_sheet_number,drawing_title,drawing_group,report_chapter,report_section,drawing_source_ids,link_type,notes
TR-4188,1,位置図,location,CH1,,DWG-TB-S001-001,group_mapping,
TR-4189,2,橋梁一般図（その1）,general,CH1,,DWG-TB-S002-001,group_mapping,
TR-4190,3,橋梁一般図（その2）,general,CH1,,DWG-TB-S003-001,group_mapping,
TR-4191,4,橋梁一般図（その3）,general,CH1,,DWG-TB-S004-001,group_mapping,
TR-4192,5,数量総括表（その1）,quantities,CH2,,DWG-TB-S005-001,group_mapping,
TR-4193,6,数量総括表（その2）,quantities,CH2,,DWG-TB-S006-001,group_mapping,
TR-4194,7,数量総括表（その3）,quantities,CH2,,DWG-TB-S007-001,group_mapping,
TR-4195,8,上部工構造一般図（その1）,structure_general,CH1,,DWG-TB-S008-001,group_mapping,
TR-4196,9,上部工構造一般図（その2）,structure_general,CH1,,DWG-TB-S009-001,group_mapping,
TR-4197,10,線形図（その1）,alignment,CH1,,DWG-TB-S010-001,group_mapping,
TR-4198,11,線形図（その2）,alignment,CH1,,DWG-TB-S011-001,group_mapping,
TR-4199,12,線形図（その3）,alignment,CH1,,DWG-TB-S012-001,group_mapping,
TR-4200,13,断面構成図（その1）,cross_section,CH1,,DWG-TB-S013-001,group_mapping,
TR-4201,14,断面構成図（その2）,cross_section,CH1,,DWG-TB-S014-001,group_mapping,
TR-4202,15,断面構成図（その3）,cross_section,CH1,,DWG-TB-S015-001,group_mapping,
TR-4203,16,断面構成図（その4）,cross_section,CH1,,DWG-TB-S016-001,group_mapping,
TR-4204,17,共通詳細図（その1）,common_detail,CH2,,DWG-TB-S017-001,group_mapping,
TR-4205,18,共通詳細図（その2）,common_detail,CH2,,DWG-TB-S018-001,group_mapping,
TR-4206,19,共通詳細図（その3）,common_detail,CH2,,DWG-TB-S019-001,group_mapping,
TR-4207,20,キャンバー図,camber,CH3,,DWG-TB-S020-001,group_mapping,
TR-4208,21,主桁AG1（その1）,main_girder_AG1,CH3,,DWG-TB-S021-001,group_mapping,
TR-4209,22,主桁AG1（その2）,main_girder_AG1,CH3,,DWG-TB-S022-001,group_mapping,
TR-4210,23,主桁AG1（その3）,main_girder_AG1,CH3,,DWG-TB-S023-001,group_mapping,
TR-4211,24,主桁AG1（その4）,main_girder_AG1,CH3,,DWG-TB-S024-001,group_mapping,
TR-4212,25,主桁AG1（その5）,main_girder_AG1,CH3,,DWG-TB-S025-001,group_mapping,
TR-4213,26,主桁AG1（その6）,main_girder_AG1,CH3,,DWG-TB-S026-001,group_mapping,
TR-4214,27,主桁AG1（その7）,main_girder_AG1,CH3,,DWG-TB-S027-001,group_mapping,
TR-4215,28,主桁AG1（その8）,main_girder_AG1,CH3,,DWG-TB-S028-001,group_mapping,
TR-4216,29,主桁AG1（その9）,main_girder_AG1,CH3,,DWG-TB-S029-001,group_mapping,
TR-4217,30,主桁AG2（その1）,main_girder_AG2,CH3,,DWG-TB-S030-001,group_mapping,
TR-4218,31,主桁AG2（その2）,main_girder_AG2,CH3,,DWG-TB-S031-001,group_mapping,
TR-4219,32,主桁AG2（その3）,main_girder_AG2,CH3,,DWG-TB-S032-001,group_mapping,
TR-4220,33,主桁AG2（その4）,main_girder_AG2,CH3,,DWG-TB-S033-001,group_mapping,
TR-4221,34,主桁AG2（その5）,main_girder_AG2,CH3,,DWG-TB-S034-001,group_mapping,
TR-4222,35,主桁AG2（その6）,main_girder_AG2,CH3,,DWG-TB-S035-001,group_mapping,
TR-4223,36,主桁AG2（その7）,main_girder_AG2,CH3,,DWG-TB-S036-001,group_mapping,
TR-4224,37,主桁AG2（その8）,main_girder_AG2,CH3,,DWG-TB-S037-001,group_mapping,
TR-4225,38,主桁AG2（その9）,main_girder_AG2,CH3,,DWG-TB-S038-001,group_mapping,
TR-4226,39,スタッド配置図（その1）,stud_layout,CH3,,DWG-TB-S039-001,group_mapping,
TR-4227,40,スタッド配置図（その2）,stud_layout,CH3,,DWG-TB-S040-001,group_mapping,
TR-4228,41,スタッド配置図（その3）,stud_layout,CH3,,DWG-TB-S041-001,group_mapping,
