dimension_id,sheet_number,view_id,dimension_type,label,value,unit,source_region,ocr_pass1,ocr_pass2,confidence,verification_status,status,notes
S141-D01,141,S141-V01,SPAN,支間長1,40.200,m,side-plan,40200,40201,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-D02,141,S141-V01,SPAN,支間長2,51.000,m,side-plan,51000,51000,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-D03,141,S141-V01,SPAN,支間長3,40.200,m,side-plan,40200,40200,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-D04,141,S141-V01,LENGTH,Bridge length L,134.001,m,side-plan,134001,134001,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,matches CF-003
S141-D05,141,S141-V01,LENGTH,Girder length,133.201,m,side-plan,133201,133201,MEDIUM,PARTIAL,RESOLVED_WITH_OCR_ASSIST,last digit uncertain V001
S141-D06,141,S141-V02,WORKING_RADIUS,作業半径(位置1),14.0,m,plan,14.0m,14.0m,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,crane position 1
S141-D07,141,S141-V02,WORKING_RADIUS,作業半径(位置2),18.0,m,plan,18.0m,18.0m,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,crane position 2
S141-D08,141,S141-V03,GROUND_LEVEL,施工基面 V,15.250,m,cross-section,15.250,15.250,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-D09,141,S141-V03,LEVEL,H.W.L.,VTP+14.00,,cross-section,VTP+14.00p,VTP+14.00p,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-D10,141,S141-V03,LEVEL,F.W.L.,VTP+13.60,,cross-section,IP+13.60,IP+13.60,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,FW/L IP+13.60
S141-D11,141,S141-V03,DECK_LEVEL,D.L.,10.00,m,cross-section,DL=10.00,DL=10.00,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
