golden_id,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
GIN-0001,alignment.bridge_length,ENT-LINE-ACL,134.001,m,134.001,m,bridge_length,"CH1-VAL-005,DWG-DIM-S001-001",GEO-001,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Bridge length on ACL; drawing 134001 mm
GIN-0002,alignment.span_length.1,ENT-LINE-ACL,40.201,m,40.201,m,span_length,"CH1-VAL-007,DWG-DIM-S001-003",GEO-002,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 1; drawing 40201/51000/40200 mm
GIN-0003,alignment.span_length.2,ENT-LINE-ACL,51.000,m,51.000,m,span_length,"CH1-VAL-008,DWG-DIM-S001-003",GEO-003,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 2; drawing 40201/51000/40200 mm
GIN-0004,alignment.span_length.3,ENT-LINE-ACL,40.200,m,40.200,m,span_length,"CH1-VAL-009,DWG-DIM-S001-003",GEO-004,calc_pdf_p7,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Span length 3; drawing 40201/51000/40200 mm
GIN-0029,elevation.longitudinal_gradient.1,ENT-LINE-ACL,6.000,%,6.000,%,longitudinal_gradient,CH1-VAL-016,GEO-082,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Longitudinal gradient i1
GIN-0030,elevation.longitudinal_gradient.2,ENT-LINE-ACL,0.100,%,0.100,%,longitudinal_gradient,CH1-VAL-017,GEO-083,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Longitudinal gradient i2
GIN-0031,elevation.cross_gradient.1,ENT-LINE-ACL,5.000,%,5.000,%,cross_gradient,CH1-VAL-018,GEO-084,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Cross gradient i1
GIN-0032,elevation.cross_gradient.2,ENT-LINE-ACL,2.000,%,2.000,%,cross_gradient,CH1-VAL-019,GEO-085,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Cross gradient i2
GIN-0033,elevation.cross_gradient.3,ENT-LINE-ACL,2.958,%,2.958,%,cross_gradient,CH1-VAL-020,GEO-086,calc_pdf_p7,,CALCULATION,HIGH,UNVERIFIED,APPROVED_INPUT_GOLDEN,SOURCE_INPUT from geometry layer; Phase 2-II candidate with HIGH confidence,,,H29_REFERENCE,Cross gradient i3
GIN-0034,elevation.deck_elevation_DL,ENT-DECK,10.00,m,10.00,m,DIMENSION,S141-D11,GEO-087,,DWG-S141,DRAWING,MEDIUM,PARTIAL,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,SOURCE_INPUT from geometry layer; Phase 2-II candidate with MEDIUM confidence; human confirmation HCR-001 tracked,HCR-001,,H29_REFERENCE,Deck level D.L. 10.00 m from sheet 141 OCR
