golden_id,domain,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
G-DES-0001,design,section_property.ag1.sec-1.uflg,ENT-GIRDER-AG1,620 x 22,mm,,,SECTION_PROPERTY,"SRC-calculation_chapter_03_section_3_2_values-029,ADV-001",DS-001,calc_pdf_p293,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0002,design,section_property.ag1.sec-1.web,ENT-GIRDER-AG1,2537 x 14,mm,,,SECTION_PROPERTY,"SRC-calculation_chapter_03_section_3_2_values-030,ADV-002",DS-002,calc_pdf_p293,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0003,design,section_property.ag1.sec-1.lflg,ENT-GIRDER-AG1,680 x 21,mm,,,SECTION_PROPERTY,"SRC-calculation_chapter_03_section_3_2_values-031,ADV-003",DS-003,calc_pdf_p293,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,,CONF-P2II-001,H29_REFERENCE,Adopted section LFLG plate width (calc 680 mm). CONFLICT with drawing 700 mm -> CONF-P2II-001.
G-DES-0004,design,section_property.ag1.sec-3.uflg,ENT-GIRDER-AG1,620 x 27,mm,,,SECTION_PROPERTY,"SRC-calculation_chapter_03_section_3_2_values-036,ADV-004",DS-008,calc_pdf_p296,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0005,design,section_property.ag1.sec-3.lflg,ENT-GIRDER-AG1,680 x 21,mm,,,SECTION_PROPERTY,"SRC-calculation_chapter_03_section_3_2_values-037,ADV-005",DS-009,calc_pdf_p296,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,,CONF-P2II-001,H29_REFERENCE,Adopted section LFLG plate width (calc 680 mm). CONFLICT with drawing 700 mm -> CONF-P2II-001.
G-DES-0006,design,section_property.ag1.sec-3.web,ENT-GIRDER-AG1,2652 x 14,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-038,DS-010,calc_pdf_p296,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0007,design,section_property.ag1.sec-5.uflg,ENT-GIRDER-AG1,620 x 27,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-042,DS-012,calc_pdf_p300,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0008,design,section_property.ag1.sec-5.lflg,ENT-GIRDER-AG1,680 x 30,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-043,DS-013,calc_pdf_p300,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0009,design,section_property.ag1.sec-5.web,ENT-GIRDER-AG1,2643 x 14,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-044,DS-014,calc_pdf_p300,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0010,design,section_property.ag1.sec-6.uflg,ENT-GIRDER-AG1,620 x 39,mm,,,SECTION_PROPERTY,"SRC-calculation_chapter_03_section_3_2_values-048,ADV-006",DS-018,calc_pdf_p301,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0011,design,section_property.ag1.sec-6.lflg,ENT-GIRDER-AG1,680 x 47,mm,,,SECTION_PROPERTY,"SRC-calculation_chapter_03_section_3_2_values-049,ADV-007",DS-019,calc_pdf_p301,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,,CONF-P2II-001,H29_REFERENCE,Adopted section LFLG plate width (calc 680 mm). CONFLICT with drawing 700 mm -> CONF-P2II-001.
G-DES-0012,design,section_property.ag1.sec-6.web,ENT-GIRDER-AG1,2614 x 14,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-050,DS-020,calc_pdf_p301,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0013,design,section_property.ag1.sec-8.uflg,ENT-GIRDER-AG1,620 x 26,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-056,DS-022,calc_pdf_p305,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0014,design,section_property.ag1.sec-8.lflg,ENT-GIRDER-AG1,680 x 21,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-057,DS-023,calc_pdf_p305,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0015,design,section_property.ag1.sec-8.web,ENT-GIRDER-AG1,2653 x 14,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-058,DS-024,calc_pdf_p305,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0016,design,section_property.ag1.sec-9.uflg,ENT-GIRDER-AG1,620 x 28,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-059,DS-025,calc_pdf_p307,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0017,design,section_property.ag1.sec-9.lflg,ENT-GIRDER-AG1,680 x 21,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-060,DS-026,calc_pdf_p307,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0018,design,section_property.ag1.sec-10.uflg,ENT-GIRDER-AG1,620 x 26,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-061,DS-027,calc_pdf_p308,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0019,design,section_property.ag1.sec-10.lflg,ENT-GIRDER-AG1,680 x 21,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-062,DS-028,calc_pdf_p308,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0020,design,section_property.ag1.sec-11.uflg,ENT-GIRDER-AG1,620 x 26,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-063,DS-029,calc_pdf_p310,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0021,design,section_property.ag1.sec-11.lflg,ENT-GIRDER-AG1,680 x 30,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-064,DS-030,calc_pdf_p310,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
G-DES-0022,design,section_property.ag1.sec-12.uflg,ENT-GIRDER-AG1,620 x 39,mm,,,SECTION_PROPERTY,SRC-calculation_chapter_03_section_3_2_values-065,DS-031,calc_pdf_p312,,CALCULATION,HIGH,UNVERIFIED,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Adopted section plate dimension (SM490Y unless noted; Sec-6 LFLG SM520-H).
