golden_id,domain,field_path,entity_id,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_record_ids,candidate_ids,calculation_locator,drawing_locator,source_priority,confidence,verification_status,promotion_status,promotion_reason,human_confirmation_id,conflict_id,standard_profile,notes
G-DWG-0001,drawing,drawing.sheet.1,ENT-LINE-ACL,位置図,,,,text,DWG-TB-S001-001,DR-001,calc_pdf_p3,DWG-S001,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 1 (location).
G-DWG-0002,drawing,drawing.sheet.2,ENT-LINE-ACL,橋梁一般図（その1）,,,,text,DWG-TB-S002-001,DR-002,calc_pdf_p4,DWG-S002,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 2 (general).
G-DWG-0003,drawing,drawing.sheet.3,ENT-LINE-ACL,橋梁一般図（その2）,,,,text,DWG-TB-S003-001,DR-003,calc_pdf_p5,DWG-S003,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 3 (general).
G-DWG-0004,drawing,drawing.sheet.4,ENT-LINE-ACL,橋梁一般図（その3）,,,,text,DWG-TB-S004-001,DR-004,calc_pdf_p6,DWG-S004,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 4 (general).
G-DWG-0005,drawing,drawing.sheet.5,ENT-LINE-ACL,数量総括表（その1）,,,,text,DWG-TB-S005-001,DR-005,calc_pdf_p7,DWG-S005,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 5 (quantities).
G-DWG-0006,drawing,drawing.sheet.6,ENT-LINE-ACL,数量総括表（その2）,,,,text,DWG-TB-S006-001,DR-006,calc_pdf_p8,DWG-S006,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 6 (quantities).
G-DWG-0007,drawing,drawing.sheet.7,ENT-LINE-ACL,数量総括表（その3）,,,,text,DWG-TB-S007-001,DR-007,calc_pdf_p9,DWG-S007,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 7 (quantities).
G-DWG-0008,drawing,drawing.sheet.8,ENT-LINE-ACL,上部工構造一般図（その1）,,,,text,DWG-TB-S008-001,DR-008,calc_pdf_p10,DWG-S008,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 8 (structure_general).
G-DWG-0009,drawing,drawing.sheet.9,ENT-LINE-ACL,上部工構造一般図（その2）,,,,text,DWG-TB-S009-001,DR-009,calc_pdf_p11,DWG-S009,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 9 (structure_general).
G-DWG-0010,drawing,drawing.sheet.10,ENT-LINE-ACL,線形図（その1）,,,,text,DWG-TB-S010-001,DR-010,calc_pdf_p12,DWG-S010,BOTH,HIGH,UNVERIFIED,APPROVED_REPORT_DRAWING_GOLDEN,drawing Golden from Phase 2-II candidate; HIGH confidence,,,H29_REFERENCE,Drawing sheet 10 (alignment).
