branch,sha_short,integrated_in_origin_main,verdict
agent/archive-ui-preservation-legacy-indexes,c3cc6df,NO,SUPERSEDED_CONTENT_IN_MAIN
agent/consolidate-apollo-handoff-research,d08955f,NO,SUPERSEDED_CONTENT_IN_MAIN
agent/consolidate-apollo-verification-evidence,0384b82,NO,SUPERSEDED_CONTENT_IN_MAIN
agent/consolidate-bridge-research,34d0ba8,NO,SUPERSEDED_CONTENT_IN_MAIN
agent/deduplicate-consolidated-csv-records,ad84368,NO,SUPERSEDED_CONTENT_IN_MAIN
agent/finalize-project-consolidation-index,384fb63,NO,SUPERSEDED_CONTENT_IN_MAIN
agent/normalize-consolidated-documentation-path,782ce2d,NO,SUPERSEDED_CONTENT_IN_MAIN
agent/prepare-consolidated-local-archive-boundary,13f068a,NO,SUPERSEDED_CONTENT_IN_MAIN
agent/record-consolidation-completion,b62e79d,NO,SUPERSEDED_CONTENT_IN_MAIN
backup/x4a-p02-p07-local-complete-20260808-020354,dc86e5b,NO,SUPERSEDED_BACKUP
docs/apollo-3d-freeze-gate-audit,1367480,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-3d-freeze-report-finalize,7d40d2a,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-aui-r1-input-inventory,6c6b588,YES,ALREADY_INTEGRATED
docs/apollo-aui-r2-input-execution,6c6b588,YES,ALREADY_INTEGRATED
docs/apollo-aui-r2-progress-save,cec0ab3,YES,ALREADY_INTEGRATED
docs/apollo-continuous-girder-scope,0f9a708,YES,ALREADY_INTEGRATED
docs/apollo-final-report-update,16a3186,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-phase1-design-expansion-refreeze,9e032b0,YES,ALREADY_INTEGRATED
docs/apollo-refreeze-local-verification,c649dc1,YES,ALREADY_INTEGRATED
docs/apollo-simple-single-scope,7bbc8d1,YES,ALREADY_INTEGRATED
docs/apollo-step10-p0d-source-manifest,e8e0de9,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p0e-plan-and-handoff,52d1f58,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p0f-closeout,ac4089c,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p1-0-phase0-seal-correction,3f7c110,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p1a-source-identity,5086837,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p1b-bridge-parity,acf49fc,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p1c-drawing-catalog,1324c47,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p1d-calculation-catalog,9149979,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p1e-correspondence,c5692fe,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p1f-closeout,47f5e0e,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p1g-seal,4f1c0e5,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2i-0-start,846b914,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2i-a-contract,48ec849,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2i-b-calc-ch01-ch02,4aaa466,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2i-c-calc-3-1,5ed5376,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2i-d-calc-3-2,2f81a87,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2i-h-drawing-001-141,63ba5b1,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2i-k-closeout,420d842,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2i-l-seal,586590d,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2ii-0-truth-gate,c6e7348,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step10-p2ii-a-unread-resolution,b6775dd,NO,SUPERSEDED_CONTENT_IN_MAIN
docs/apollo-step1a-development-reference,0c95664,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step1a-development-reference-report,abfe95c,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step1a-evidence-golden,1a1cc88,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step1a-report-finalize,7629267,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step1b-report-finalize,f27ccb8,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step4a-report-finalize,861ec6d,YES,ALREADY_INTEGRATED
docs/apollo-step4a-sha-stamp,f2687d1,YES,ALREADY_INTEGRATED
docs/apollo-step5-3-p2-pr-stamp,f41d767,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step5-3-p3-pr-stamp,257c222,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step5-3-p6-p7-pr-stamp,9d79122,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-3d-g0-a-geometry-audit,c2adc00,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-3d-g0-bcd-design-freeze,e89490d,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-3d-g2-engineering-review,05087c0,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-f1-closeout,6aad04c,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-f1-d-3d-member,112428c,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-f2-a-drawer-design,88a9830,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-f2-closeout,2a96355,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-f3-a-investigation,3956b86,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-f3-closeout,1d98032,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-ui-1-report,1db5f8d,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-ui-1d-implementation-design,40197a3,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-ui-2-report,8809e1d,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-ui-closeout,6cd0c78,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-step6-ui-f1-a-investigation,8ad8e8f,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-wif1-drawer-focus-design,a37a1ff,NO,SUPERSEDED_PRE_PHASE4
docs/apollo-wif3-drawer-focus-verification,f279701,NO,SUPERSEDED_PRE_PHASE4
docs/phase-a-a0-source-inventory,14e61b5,YES,ALREADY_INTEGRATED
docs/phase-a-a1-standard-scope,499fc30,YES,ALREADY_INTEGRATED
docs/phase-a-a2-materials-units,c042335,YES,ALREADY_INTEGRATED
docs/phase-a-a3-loads-combinations,50d93aa,YES,ALREADY_INTEGRATED
docs/phase-a-a4-analysis-model,a44f2b3,YES,ALREADY_INTEGRATED
docs/phase-a-a5-main-girder-fatigue,83af418,YES,ALREADY_INTEGRATED
docs/phase-a-a6-deck-secondary-connections,0e4ba17,YES,ALREADY_INTEGRATED
docs/phase-a-a7-validation-authorization,65e0c55,YES,ALREADY_INTEGRATED
docs/phase-a-a8-final-integration,c3bf9f1,YES,ALREADY_INTEGRATED
docs/phase-b-prep-p0-baseline,7c99e24,YES,ALREADY_INTEGRATED
docs/phase-b-prep-p1-repository-blockers,2796cb4,YES,ALREADY_INTEGRATED
docs/phase-b-prep-p2-standard-review,99f75d3,YES,ALREADY_INTEGRATED
docs/phase-b-prep-p3-solver-contract,2e84ca4,YES,ALREADY_INTEGRATED
docs/phase-b-prep-p4-golden-plan,7b6bf70,YES,ALREADY_INTEGRATED
docs/phase-b-prep-p5-first-candidate,d71d968,YES,ALREADY_INTEGRATED
docs/phase-b-prep-p6-final,ba7dd78,YES,ALREADY_INTEGRATED
docs/readme-english-first-mit-license,78e24c3,YES,ALREADY_INTEGRATED
docs/readme-mit-final-report,13f10d5,YES,ALREADY_INTEGRATED
docs/standard-git-workflow,04bf636,YES,ALREADY_INTEGRATED
feat/ap-dx-01-design-entity-contracts,c846bb3,YES,ALREADY_INTEGRATED
feat/ap-dx-visible-vertical-slice-01,d6b5db0,YES,ALREADY_INTEGRATED
feat/apollo-continuous-girder-contract,c6c7d62,YES,ALREADY_INTEGRATED
feat/apollo-continuous-girder-input-ui,264daa6,YES,ALREADY_INTEGRATED
feat/apollo-step1b-section-properties-dev,8078422,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step4a-workflow-state,a92575a,YES,ALREADY_INTEGRATED
feat/apollo-step5-3-p2-guided-mode,e612ac3,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step5-3-p3-pavement-markings,25f757d,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step5-3-p4-p5-topology-langle,8d16ba4,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step5-3-p6-p7-integration-closeout,0e9d079,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-3d-g1-haunch-fix,9573f23,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-f1-b1-ui-density,620a991,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-f1-b2-guided-save-next,51369a4,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-f1-c-fullscreen-overlay,af9ec33,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-f2-b-drawer-shell,fe9bdb1,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-f2-c-drawer-connections,00d0416,NO,SUPERSEDED_CONTENT_IN_MAIN
feat/apollo-step6-f2-d-ux,dde0656,NO,SUPERSEDED_CONTENT_IN_MAIN
