path,head_short,HEAD_is_origin_main,is_detached,branch,classification
/home/masaharu/Projects/spacer-clone,bbfa6ea,YES,,main,AUTHORITATIVE_MAIN_WORKTREE
/home/masaharu/Projects/spacer-clone-liner-r1-planning,dc86e5b,NO,,research/liner-r1-planning,RESEARCH_ONLY
/tmp/opencode/c1-des-base,a122633,NO,,phase-c1-design-baseline-p0004,SUPERSEDED_STEP10
/tmp/opencode/c1-i01,b07fda1,NO,,feature/phase-c1-i01-model-validation,SUPERSEDED_STEP10
/tmp/opencode/c1-i02,8298b75,NO,,feature/phase-c1-i02-placement,SUPERSEDED_STEP10
/tmp/opencode/c1-i03a,bbfa6ea,YES,,feature/phase-c1-i03a-abutment-geometry,SYNCED_NON_MAIN
/tmp/opencode/p2i_verify,7b07f62,NO,YES,(detached),DETACHED_HOLDING
/tmp/opencode/p2iib-stamp,abc3d84,NO,YES,(detached),DETACHED_HOLDING
/tmp/opencode/p2iib-work,2cc9be0,NO,YES,(detached),DETACHED_HOLDING
/tmp/opencode/p2iicf,593fe16,NO,YES,(detached),DETACHED_HOLDING
/tmp/opencode/p2iigi,593fe16,NO,YES,(detached),DETACHED_HOLDING
/tmp/opencode/p2iij,593fe16,NO,YES,(detached),DETACHED_HOLDING
/tmp/opencode/p2iik,593fe16,NO,YES,(detached),DETACHED_HOLDING
/tmp/opencode/phase4-pr0,bbfa6ea,YES,,feature/step10-phase4-pr0-preflight,CURRENT_PHASE4_PREFLIGHT
/tmp/opencode/substruct-b,b8db389,NO,YES,(detached),DETACHED_HOLDING
/tmp/opencode/substruct-tests,b796be4,NO,,feature/substructure-planning-tests,RESEARCH_ONLY
/tmp/spacer-clone-phase-c1,217887c,NO,,feature/phase-c1-3d-liner-integration,SUPERSEDED_STEP10
