golden_id,domain,field_path,drawing_sheet_number,drawing_locator,source_record_ids,candidate_ids
G-RPT-0001,report,report.chapter.front_matter,,,"FM-PE-001,FM-PE-002,FM-PE-008",RP-001
G-RPT-0002,report,report.chapter.CH1-PE-001,,,CH1-PE-001,RP-005
G-RPT-0003,report,report.chapter.CH2-PE-001,,,CH2-PE-001,RP-154
G-RPT-0004,report,report.chapter.CAL-P00115-CAL-SEC-3.1-001,,,CAL-P00115-CAL-SEC-3.1-001,RP-295
G-RPT-0005,report,report.chapter.CAL-P00871-CAL-SEC-ch4-001,,,CAL-P00871-CAL-SEC-ch4-001,RP-1041
G-RPT-0006,report,report.chapter.CH5-PE-001,,,CH5-PE-001,RP-1404
G-RPT-0007,report,report.section.CH1-PE-002,,,CH1-PE-002,RP-007
G-RPT-0008,report,report.section.CH1-PE-032,,,CH1-PE-032,RP-038
G-RPT-0009,report,report.section.CH1-PE-036,,,CH1-PE-036,RP-043
G-RPT-0010,report,report.section.CH1-PE-037,,,CH1-PE-037,RP-045
G-RPT-0011,report,report.section.CH1-PE-038,,,CH1-PE-038,RP-047
G-RPT-0012,report,report.section.CH1-PE-039,,,CH1-PE-039,RP-049
G-RPT-0013,report,report.section.CH2-PE-003,,,CH2-PE-003,RP-157
G-RPT-0014,report,report.section.CH2-PE-005,,,CH2-PE-005,RP-160
G-RPT-0015,report,report.section.CH2-PE-006,,,CH2-PE-006,RP-162
G-RPT-0016,report,report.section.CH2-PE-007,,,CH2-PE-007,RP-164
G-RPT-0017,report,report.section.CH2-PE-008,,,CH2-PE-008,RP-166
G-RPT-0018,report,report.section.CH2-PE-009,,,CH2-PE-009,RP-168
G-RPT-0019,report,report.section.CH2-PE-010,,,CH2-PE-010,RP-170
G-RPT-0020,report,report.section.CH2-PE-011,,,CH2-PE-011,RP-172
G-RPT-0021,report,report.section.CH2-PE-012,,,CH2-PE-012,RP-174
G-RPT-0022,report,report.section.CH2-PE-013,,,CH2-PE-013,RP-176
G-RPT-0023,report,report.section.CH2-PE-014,,,CH2-PE-014,RP-178
G-RPT-0024,report,report.section.CH2-PE-015,,,CH2-PE-015,RP-180
G-RPT-0025,report,report.section.CH2-PE-016,,,CH2-PE-016,RP-182
G-RPT-0026,report,report.section.CH2-PE-017,,,CH2-PE-017,RP-184
G-RPT-0027,report,report.section.CH2-PE-018,,,CH2-PE-018,RP-186
G-RPT-0028,report,report.section.CH2-PE-019,,,CH2-PE-019,RP-188
G-RPT-0029,report,report.section.CH2-PE-020,,,CH2-PE-020,RP-190
G-RPT-0030,report,report.section.CH2-PE-021,,,CH2-PE-021,RP-192
G-RPT-0031,report,report.section.CH2-PE-022,,,CH2-PE-022,RP-194
G-RPT-0032,report,report.section.CH2-PE-023,,,CH2-PE-023,RP-196
G-RPT-0033,report,report.section.CH2-PE-024,,,CH2-PE-024,RP-198
G-RPT-0034,report,report.section.CAL-P00115-CAL-SEC-3.1-001,,,CAL-P00115-CAL-SEC-3.1-001,RP-296
G-RPT-0035,report,report.section.CAL-P00116-CAL-SEC-3.1-001,,,CAL-P00116-CAL-SEC-3.1-001,RP-298
G-RPT-0036,report,report.section.CAL-P00117-CAL-SEC-3.1.1-001,,,CAL-P00117-CAL-SEC-3.1.1-001,RP-300
G-RPT-0037,report,report.section.CAL-P00118-CAL-SEC-3.1.2-001,,,CAL-P00118-CAL-SEC-3.1.2-001,RP-304
G-RPT-0038,report,report.section.CAL-P00119-CAL-SEC-3.1.2-001,,,CAL-P00119-CAL-SEC-3.1.2-001,RP-307
G-RPT-0039,report,report.section.CAL-P00121-CAL-SEC-3.1.2-001,,,CAL-P00121-CAL-SEC-3.1.2-001,RP-310
G-RPT-0040,report,report.section.CAL-P00121-CAL-SEC-3.1.2-002,,,CAL-P00121-CAL-SEC-3.1.2-002,RP-312
G-RPT-0041,report,report.section.CAL-P00122-CAL-SEC-3.1.2-001,,,CAL-P00122-CAL-SEC-3.1.2-001,RP-314
G-RPT-0042,report,report.section.CAL-P00122-CAL-SEC-3.1.2-002,,,CAL-P00122-CAL-SEC-3.1.2-002,RP-316
G-RPT-0043,report,report.section.CAL-P00123-CAL-SEC-3.1.2-001,,,CAL-P00123-CAL-SEC-3.1.2-001,RP-318
G-RPT-0044,report,report.section.CAL-P00124-CAL-SEC-3.1.2-001,,,CAL-P00124-CAL-SEC-3.1.2-001,RP-321
G-RPT-0045,report,report.section.CAL-P00125-CAL-SEC-3.1.2-001,,,CAL-P00125-CAL-SEC-3.1.2-001,RP-323
G-RPT-0046,report,report.section.CAL-P00126-CAL-SEC-3.1.2-001,,,CAL-P00126-CAL-SEC-3.1.2-001,RP-326
G-RPT-0047,report,report.section.CAL-P00127-CAL-SEC-3.1.2-001,,,CAL-P00127-CAL-SEC-3.1.2-001,RP-329
G-RPT-0048,report,report.section.CAL-P00128-CAL-SEC-3.1.2-001,,,CAL-P00128-CAL-SEC-3.1.2-001,RP-331
