golden_id,domain,field_path,entity_id,promotion_status,human_confirmation_id,conflict_id,common_layer,common_section,target_id,drawing_sheet_id,resolution_state,mapping_status,mapping_reason
GIN-0001,alignment,alignment.bridge_length,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,alignment,alignment,ALN-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0002,alignment,alignment.span_length.1,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,alignment,alignment,ALN-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0003,alignment,alignment.span_length.2,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,alignment,alignment,ALN-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0004,alignment,alignment.span_length.3,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,alignment,alignment,ALN-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0005,girder_line,girder_line.ag1,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,girder_line,GIRDER-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0006,girder_line,girder_line.ag2,ENT-GIRDER-AG2,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,girder_line,GIRDER-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0007,girder_line,girder_line.girder_spacing,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,girder_line,GIRDER-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0008,girder_line,girder_line.girder_height,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,girder_line,GIRDER-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0009,girder_line,girder_line.panel_points_AG1,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,girder_line,GIRDER-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0010,girder_line,girder_line.panel_points_AG2,ENT-GIRDER-AG2,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,girder_line,GIRDER-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0011,grid_point,grid_point.1001.X,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0012,grid_point,grid_point.1001.Y,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0013,grid_point,grid_point.1027.X,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0014,grid_point,grid_point.1027.Y,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0015,grid_point,grid_point.2001.X,ENT-GIRDER-AG2,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0016,grid_point,grid_point.2001.Y,ENT-GIRDER-AG2,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0017,grid_point,grid_point.2027.X,ENT-GIRDER-AG2,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0018,grid_point,grid_point.2027.Y,ENT-GIRDER-AG2,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0019,cross_section,cross_section.deck_total_width,ENT-DECK,APPROVED_INPUT_GOLDEN,,,sections,cross_section,SECTION-DECK,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0020,cross_section,cross_section.deck_thickness,ENT-DECK,APPROVED_INPUT_GOLDEN,,,sections,cross_section,SECTION-DECK,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0021,cross_section,cross_section.pavement_thickness,ENT-DECK,APPROVED_INPUT_GOLDEN,,,sections,cross_section,SECTION-DECK,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0022,cross_section,cross_section.upper_flange_width,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,sections,cross_section,SECTION-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0023,cross_section,cross_section.web_height,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,sections,cross_section,SECTION-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0024,cross_section,cross_section.web_thickness,ENT-GIRDER-AG1,APPROVED_INPUT_GOLDEN,,,sections,cross_section,SECTION-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0025,support_line,support_line.pu15,ENT-SUPPORT-PU15,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,support_line,SUPPO-SUPPORT-PU15,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0026,support_line,support_line.pr1,ENT-SUPPORT-PR1,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,support_line,SUPPO-SUPPORT-PR1,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0027,support_line,support_line.pr2,ENT-SUPPORT-PR2,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,support_line,SUPPO-SUPPORT-PR2,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0028,support_line,support_line.ar2,ENT-SUPPORT-AR2,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,support_line,SUPPO-SUPPORT-AR2,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0029,elevation,elevation.longitudinal_gradient.1,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,elevation,ELEVA-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0030,elevation,elevation.longitudinal_gradient.2,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,elevation,ELEVA-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0031,elevation,elevation.cross_gradient.1,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,elevation,ELEVA-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0032,elevation,elevation.cross_gradient.2,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,elevation,ELEVA-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0033,elevation,elevation.cross_gradient.3,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,elevation,ELEVA-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0034,elevation,elevation.deck_elevation_DL,ENT-DECK,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,HCR-001,,bridgeGeometry,elevation,ELEVA-DECK,,HUMAN_CONFIRMATION_REQUIRED,MAPPED_WITH_HUMAN_TRACK,"human confirmation HCR-001 preserved; value present, confirmation pending"
GIN-0035,elevation,elevation.ground_level_V,ENT-LINE-ACL,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,HCR-001,,bridgeGeometry,elevation,ELEVA-LINE-ACL,,HUMAN_CONFIRMATION_REQUIRED,MAPPED_WITH_HUMAN_TRACK,"human confirmation HCR-001 preserved; value present, confirmation pending"
GIN-0036,road_spec,road_spec.road_spec,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,road_spec,ROAD_-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
GIN-0037,road_spec,road_spec.design_speed,ENT-LINE-ACL,APPROVED_INPUT_GOLDEN,,,bridgeGeometry,road_spec,ROAD_-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_INPUT_GOLDEN
