golden_id,domain,field_path,entity_id,promotion_status,human_confirmation_id,conflict_id,common_layer,common_section,target_id,drawing_sheet_id,resolution_state,mapping_status,mapping_reason
G-GEO-0001,geometry,alignment.bridge_length,ENT-LINE-ACL,APPROVED_GOLDEN_MODEL,,,alignment,alignment,ALN-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0002,geometry,alignment.span_length.1,ENT-LINE-ACL,APPROVED_GOLDEN_MODEL,,,alignment,alignment,ALN-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0003,geometry,alignment.span_length.2,ENT-LINE-ACL,APPROVED_GOLDEN_MODEL,,,alignment,alignment,ALN-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0004,geometry,alignment.span_length.3,ENT-LINE-ACL,APPROVED_GOLDEN_MODEL,,,alignment,alignment,ALN-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0005,geometry,girder_line.ag1,ENT-GIRDER-AG1,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,girder_line,GIRDER-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0006,geometry,girder_line.ag2,ENT-GIRDER-AG2,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,girder_line,GIRDER-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0007,geometry,girder_line.girder_spacing,ENT-LINE-ACL,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,girder_line,GIRDER-LINE-ACL,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0008,geometry,girder_line.girder_height,ENT-GIRDER-AG1,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,girder_line,GIRDER-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0009,geometry,grid_point.1001.X,ENT-GIRDER-AG1,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0010,geometry,grid_point.1001.Y,ENT-GIRDER-AG1,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0011,geometry,grid_point.1027.X,ENT-GIRDER-AG1,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0012,geometry,grid_point.1027.Y,ENT-GIRDER-AG1,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG1,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0013,geometry,grid_point.2001.X,ENT-GIRDER-AG2,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0014,geometry,grid_point.2001.Y,ENT-GIRDER-AG2,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0015,geometry,grid_point.2027.X,ENT-GIRDER-AG2,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0016,geometry,grid_point.2027.Y,ENT-GIRDER-AG2,APPROVED_GOLDEN_MODEL,,,bridgeGeometry,grid_point,GRID_-GIRDER-AG2,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0017,geometry,cross_section.deck_total_width,ENT-DECK,APPROVED_GOLDEN_MODEL,,,sections,cross_section,SECTION-DECK,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
G-GEO-0018,geometry,cross_section.deck_thickness,ENT-DECK,APPROVED_GOLDEN_MODEL,,,sections,cross_section,SECTION-DECK,,CONFIRMED,MAPPED,promotion APPROVED_GOLDEN_MODEL
