workflow_step,current_status,event,guard,next_status,side_effect,stale_targets,diagnostic,recommended_action
WF-01,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-01,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-01,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-01,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-01,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-02,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-02,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-02,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-02,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-02,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-03,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-03,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-03,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-03,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-03,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-04,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-04,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-04,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-04,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-04,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-05,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
WF-05,AVAILABLE,select_as_next,is_earliest_actionable,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
WF-05,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_outputs,downstream_artifacts,STALE,regenerate
WF-05,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
WF-05,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,NOT_AUTHORIZED,user_review_only
WF-06,NOT_STARTED,prerequisites_met,deps_ready,AVAILABLE,recompute_badges,,,open_step
