workflow_step,current_status,event,guard,next_status,side_effect,stale_targets,diagnostic,recommended_action
ALL,ANY,corrupted_data,persistence_parse_null,ERROR,safe_evidence,null_checksums,WF_EXECUTION_ERROR,fix_or_reinput
ALL,NOT_STARTED,prerequisites_met,active_deps_ready,AVAILABLE,recompute_badges,,,open_step
ALL,AVAILABLE,select_as_next,earliest_actionable_and_not_blocked,RECOMMENDED,set_currentRecommendedStepId,,,run_primary_cta
ALL,READY,upstream_input_changed,checksum_mismatch,STALE,invalidate_downstream,downstream_artifacts,WF_RESULT_STALE,regenerate
ALL,AVAILABLE,blocking_diagnostic,has_error,BLOCKED,disable_cta,,BLOCKED,fix_inputs
ALL,ANY,capability_planned,always,BLOCKED,show_stub_reason,,WF_CAPABILITY_PLANNED,wait_future_step
ALL,ANY,capability_unavailable,always,BLOCKED,show_stub_reason,,WF_CAPABILITY_UNAVAILABLE,wait_plan
ALL,COMPLETE,authorization_check,always,COMPLETE,badge_NOT_AUTHORIZED,,WF_NOT_AUTHORIZED,user_review_only
WF-01,ANY,empty_input,is_binding,BLOCKED,stub_reason,,WF_CAPABILITY_PLANNED,future_step_4e
WF-02,EMPTY,input_absent,is_empty,AVAILABLE,recommend,,WF_INPUT_MISSING,open_step
WF-02,PARTIAL,input_partial,is_partial,INCOMPLETE,recommend,,,complete_input
WF-02,INVALID,input_invalid,has_error,BLOCKED,disable_cta,,WF_INPUT_INVALID,fix_input
WF-02,VALID,generated_current,generation_current,COMPLETE,badge_NOT_AUTHORIZED,,WF_NOT_AUTHORIZED,user_review
WF-02,STALE,regenerate,generation_current,COMPLETE,clear_stale,downstream_artifacts,,regenerate
WF-04,VALID,generated_current,generation_current,COMPLETE,badge_NOT_AUTHORIZED,,WF_NOT_AUTHORIZED,user_review
WF-07,VALID,generated_current,generation_current,COMPLETE,badge_NOT_AUTHORIZED_partial,,WF_NOT_AUTHORIZED,user_review
WF-08,VALID,result_absent,development_probe,READY,badge_PARTIAL,,WF_PARTIAL_SCOPE_WARNING,run_analysis
WF-09,VALID,result_absent,development_probe,READY,badge_PARTIAL,,WF_PARTIAL_SCOPE_WARNING,open_step
WF-10,VALID,model_current,checksum_aligned,COMPLETE,badge_NOT_AUTHORIZED,,WF_NOT_AUTHORIZED,user_review
WF-11,VALID,build_ok,visualization_build,COMPLETE,badge_NOT_AUTHORIZED,,WF_NOT_AUTHORIZED,review_3d
WF-12,VALID,model_current,checksum_aligned,COMPLETE,badge_NOT_AUTHORIZED,,WF_NOT_AUTHORIZED,user_review
WF-13,VALID,sheets_ge_7,drawing_scope_single,COMPLETE,badge_NOT_AUTHORIZED,,WF_NOT_AUTHORIZED,user_review
WF-13,VALID,out_of_scope,continuous_drawing,BLOCKED,scope_diagnostic,,WF_UNSUPPORTED_SCOPE,use_simple_single
WF-14,VALID,consistency_pass,outputs_current,COMPLETE,badge_NOT_AUTHORIZED,,WF_NOT_AUTHORIZED,user_review
WF-14,VALID,bundle_blocked,outputs_bundle,BLOCKED,bundle_diagnostic,,WF_RESULT_NOT_GENERATED,fix_bundle
WF-15,READY,ack_missing,no_ack,READY,show_checklist,,WF_RESULT_NOT_GENERATED,open_checklist
WF-15,READY,ack_current,checksum_aligned,COMPLETE,persist_ack,,,user_review_done
WF-15,STALE,ack_mismatch,checksum_moved,STALE,invalidated_ack,,WF_RESULT_STALE,reacknowledge
