screen_id,string_count,user_visible_count,technical_only_count,high_frequency_count,categories,dominant_action,priority,notes
guided,16,16,0,4,"ARIA,BUTTON,FIELD_LABEL,HELP,SECTION_TITLE,STATUS,TECHNICAL_DETAIL",TRANSLATE_TO_JA,HIGH,
workflow,13,10,3,6,"AUTHORIZATION,STATUS,TECHNICAL_DETAIL,WORKFLOW_STEP",REVIEW,HIGH,
bridge-structure,11,10,1,8,"AUTHORIZATION,BUTTON,FIELD_LABEL,HELP,STATUS,TECHNICAL_DETAIL",TRANSLATE_TO_JA,HIGH,
stl,10,10,0,2,"AUTHORIZATION,ERROR,EXPORT,FIELD_LABEL,TECHNICAL_DETAIL",TRANSLATE_TO_JA,HIGH,
viewer,9,5,4,4,"BUTTON,MEMBER_NAME,TECHNICAL_DETAIL",TRANSLATE_TO_JA,HIGH,
cross-frame,7,7,0,1,"AUTHORIZATION,FIELD_LABEL,STATUS,WARNING",TRANSLATE_TO_JA,MED,
workspace,6,3,3,1,"ARIA,FIELD_LABEL,OTHER,STATUS,TECHNICAL_DETAIL",KEEP_TECHNICAL,MED,
authorization,4,4,0,3,"AUTHORIZATION,TECHNICAL_DETAIL",TRANSLATE_TO_JA,HIGH,
appurtenance,3,3,0,1,"AUTHORIZATION,FIELD_LABEL,STATUS",TRANSLATE_TO_JA,MED,
basics,3,3,0,1,"ARIA,SCREEN_TITLE",TRANSLATE_TO_JA,MED,
haunch,3,3,0,1,"AUTHORIZATION,FIELD_LABEL,TECHNICAL_DETAIL",TRANSLATE_TO_JA,MED,
other,3,0,3,3,"OTHER,TECHNICAL_DETAIL",KEEP_TECHNICAL,HIGH,
pavement,3,3,0,2,"FIELD_LABEL,STATUS",TRANSLATE_TO_JA,MED,
quantity,3,3,0,1,"AUTHORIZATION,TECHNICAL_DETAIL",TRANSLATE_TO_JA,MED,
reapply,3,2,1,1,"AUTHORIZATION,BUTTON,TECHNICAL_DETAIL",TRANSLATE_TO_JA,LOW,
analysis,2,2,0,1,AUTHORIZATION,TRANSLATE_TO_JA,LOW,
load,1,1,0,1,AUTHORIZATION,TRANSLATE_TO_JA,LOW,
