message_id,internal_key,l1_ja,l2_ja,next_action_ja,l3_en,severity
SM-COMPLETE,COMPLETE,完了,工程または成果が完了している,表示を確認し、必要な操作を続行してください。,COMPLETE,ADOPTED_UI_LABEL
SM-STALE,STALE,要再計算,入力変更により再計算・再生成が必要,入力を確認し、再計算・再生成してください。,STALE,ADOPTED_UI_LABEL
SM-BLOCKED,BLOCKED,先に必要な作業があります,前提工程が未完了のため進めない,先に必要な工程を完了してください。,BLOCKED,ADOPTED_UI_LABEL
SM-NOT_STARTED,NOT_STARTED,未着手,まだ開始していない,表示を確認し、必要な操作を続行してください。,NOT_STARTED,ADOPTED_UI_LABEL
SM-AVAILABLE,AVAILABLE,操作可能,ユーザーが操作を開始できる,表示を確認し、必要な操作を続行してください。,AVAILABLE,ADOPTED_UI_LABEL
SM-RECOMMENDED,RECOMMENDED,推奨,次に進める推奨工程,表示を確認し、必要な操作を続行してください。,RECOMMENDED,ADOPTED_UI_LABEL
SM-INCOMPLETE,INCOMPLETE,入力不足,必須入力が不足,不足している入力を埋めてください。,INCOMPLETE,ADOPTED_UI_LABEL
SM-READY,READY,準備完了,実行・生成の準備ができている,表示を確認し、必要な操作を続行してください。,READY,ADOPTED_UI_LABEL
SM-WARNING,WARNING,注意,続行可能だが確認が必要,注意事項を確認してから続行してください。,WARNING,ADOPTED_UI_LABEL
SM-ERROR,ERROR,エラー,進行を止める誤り,エラー内容を解消してください。,ERROR,ADOPTED_UI_LABEL
SM-NOT_AUTHORIZED,NOT_AUTHORIZED,正式認可なし,正式な構造・数値認可がない,正式認可があるまで設計・施工に用いないでください。,NOT_AUTHORIZED,ADOPTED_UI_LABEL
SM-OUT_OF_SCOPE,OUT_OF_SCOPE,対象外,本製品範囲外,表示を確認し、必要な操作を続行してください。,OUT_OF_SCOPE,ADOPTED_UI_LABEL
SM-GENERATION_CURRENT,GENERATION_CURRENT,生成結果は最新,生成成果が現入力と一致,表示を確認し、必要な操作を続行してください。,GENERATION_CURRENT,ADOPTED_UI_LABEL
SM-INPUT_ONLY,INPUT_ONLY,入力のみ（未生成）,入力はあるが成果未生成,表示を確認し、必要な操作を続行してください。,INPUT_ONLY,ADOPTED_UI_LABEL
SM-IMPLEMENTED,IMPLEMENTED,実装済み,機能が利用可能,表示を確認し、必要な操作を続行してください。,IMPLEMENTED,ADOPTED_UI_LABEL
SM-PLANNED,PLANNED,計画中,将来実装・現在は選択不可寄り,表示を確認し、必要な操作を続行してください。,PLANNED,ADOPTED_UI_LABEL
SM-UNAVAILABLE,UNAVAILABLE,選択不可,現在選択できない,表示を確認し、必要な操作を続行してください。,UNAVAILABLE,ADOPTED_UI_LABEL
