decision_id,topic,choice,status,resolves,owner
DEC-JP1B-001,COMPLETE label,完了,ADOPTED,,JP1-B
DEC-JP1B-002,STALE label,要再計算 (variant 要再生成 OK for generation),ADOPTED,"UT-JP1A-0047,UT-JP1A-0051",JP1-B
DEC-JP1B-003,BLOCKED label,先に必要な作業があります,ADOPTED,"UT-JP1A-0045,UT-JP1A-0050",JP1-B
DEC-JP1B-005,AVAILABLE label,操作可能,ADOPTED,,JP1-B
DEC-JP1B-007,INCOMPLETE label,入力不足,ADOPTED,,JP1-B
DEC-JP1B-008,READY label,準備完了,ADOPTED,,JP1-B
DEC-JP1B-011,NOT_AUTHORIZED label,正式認可なし,ADOPTED,UT-JP1A-0046,JP1-B
DEC-JP1B-021,CROSS_BEAM,横桁,ADOPTED,,JP1-B
DEC-JP1B-022,CROSS_FRAME,対傾構,ADOPTED,,JP1-B
DEC-JP1B-035,LEFT_CURB slot,左側地覆,ADOPTED,UT-JP1A-0091,JP1-B
DEC-JP1B-060,NOT_GRANTED,正式認可なし,ADOPTED,,JP1-B
DEC-JP1B-061,PROHIBITED,設計・施工への使用禁止,ADOPTED,,JP1-B
DEC-JP1B-096,Viewer Fit/iso/xy,全体表示/等角/平面,ADOPTED,UT-JP1A-0096,JP1-B
