Element,PaddingTB,PaddingLR,FontSize,Gap,EstHeightPx,Source
apollo-unit2-header,16px,18px,varies,16px,100-130,styles.css:5764-5770
header-h1,4px 0 8px,auto,1.8rem,auto,47,styles.css:5772-5775
header-description-p,auto,auto,~16px,auto,40,ApolloPhase1Shell.tsx:2286-2288
header-actions-button,8px,14px,13px,8px,34,styles.css:5783-5794
header-group,0px,8px,auto,4px,auto,styles.css:5813-5819
save-status-badge,2px,8px,11px,auto,auto,styles.css:5847-5856
compact-auth-toggle,2px,8px,11px,4px,24,styles.css:5879-5891
apollo-phase1-banner,14px,16px,varies,auto,86,styles.css:5919-5922
stepbar-item-button,8px,10px,13px,4px,79,styles.css:6170-6181
stepbar-row,0,0,auto,8px,87,styles.css:6162-6168
topology-summary,0,0,auto,10px,94,styles.css:6118-6131
topology-summary-span,10px,12px,~16px,auto,42,styles.css:6125-6131
topology-view,0,0,auto,auto,420min,styles.css:6142-6148
apollo-editor-card,16px,16px,auto,auto,32(+content),styles.css:6057
editor-card-header,0,0,auto,12px,auto,styles.css:6063-6068
screen-grid,0,0,auto,16px,auto,styles.css:6133-6136
unit2-layout,0,0,auto,16px,auto,styles.css:6003-6007
unit2-editor,0,0,auto,14px,auto,styles.css:6009-6016
phase1-shell,18px,18px,auto,16px,auto,styles.css:5744-5752
applied-summary-span,8px,10px,13px,8px,auto,styles.css:6283-6289
save-notice-card,16px,16px,~16px,auto,52,ApolloPhase1Shell.tsx:2336
provisional-banner-strong,auto,auto,bold~16px,auto,22,ApolloPhase1Shell.tsx:2315
provisional-banner-p,auto,auto,~14px,auto,36,ApolloPhase1Shell.tsx:2316
