item_id,source_path,destination_path,size_bytes,sha256_source,sha256_destination,copy_status,redaction_status,public_safety_status,notes
ITM-001,~/Projects/liner-future-research/r1-planning/B3_NON_MODIFICATION_AUDIT.md,docs/liner/planning/r1-numeric-verification/B3_NON_MODIFICATION_AUDIT.md,2114,e9d383f1a21bd3236b56a28ed2945fc34d1756225b96583885fa4df0e8d2ca0a,e9d383f1a21bd3236b56a28ed2945fc34d1756225b96583885fa4df0e8d2ca0a,COPIED,NONE (already generalized),SAFE,B3_NON_MODIFICATION_AUDIT.md
ITM-002,~/Projects/liner-future-research/r1-planning/R1_ACCEPTANCE_CRITERIA.md,docs/liner/planning/r1-numeric-verification/R1_ACCEPTANCE_CRITERIA.md,1525,bcea462d77413502963eb4a9b00c8f6c04a24d2a574833bcee95ca2636e55802,bcea462d77413502963eb4a9b00c8f6c04a24d2a574833bcee95ca2636e55802,COPIED,NONE (already generalized),SAFE,R1_ACCEPTANCE_CRITERIA.md
ITM-003,~/Projects/liner-future-research/r1-planning/R1_BOUNDARY_REPORT.md,docs/liner/planning/r1-numeric-verification/R1_BOUNDARY_REPORT.md,3183,18dfda9e70b415b46a34abd96590763a4f3a98f60bd7a973101904806b7077cf,18dfda9e70b415b46a34abd96590763a4f3a98f60bd7a973101904806b7077cf,COPIED,NONE (already generalized),SAFE,R1_BOUNDARY_REPORT.md
ITM-004,~/Projects/liner-future-research/r1-planning/R1_DESIGN.md,docs/liner/planning/r1-numeric-verification/R1_DESIGN.md,3406,c713cc70e91def95788e8a576956b241f110448cd55356333da6a62db79b6824,c713cc70e91def95788e8a576956b241f110448cd55356333da6a62db79b6824,COPIED,NONE (already generalized),SAFE,R1_DESIGN.md
ITM-005,~/Projects/liner-future-research/r1-planning/R1_PLAN.md,docs/liner/planning/r1-numeric-verification/R1_PLAN.md,3174,8dabab5fe1ab63c8018858eea16d350de3cf7912685421e6ea784b24b0730bb5,8dabab5fe1ab63c8018858eea16d350de3cf7912685421e6ea784b24b0730bb5,COPIED,NONE (already generalized),SAFE,R1_PLAN.md
ITM-006,~/Projects/liner-future-research/r1-planning/R1_TEST_PLAN.md,docs/liner/planning/r1-numeric-verification/R1_TEST_PLAN.md,2536,6524eddbcc4a7f85695691133afb6a9134fcc856df064ea8be0f2cfd9ebb0da6,6524eddbcc4a7f85695691133afb6a9134fcc856df064ea8be0f2cfd9ebb0da6,COPIED,NONE (already generalized),SAFE,R1_TEST_PLAN.md
ITM-007,~/Projects/liner-future-research/r1-planning/R1_VERIFICATION_STRATEGY.md,docs/liner/planning/r1-numeric-verification/R1_VERIFICATION_STRATEGY.md,1599,d8772494983ea846e52739f16f460245340b33649a0c09b3c9051629bc4042ad,d8772494983ea846e52739f16f460245340b33649a0c09b3c9051629bc4042ad,COPIED,NONE (already generalized),SAFE,R1_VERIFICATION_STRATEGY.md
ITM-008,~/Projects/liner-future-research/r1-planning/integration_and_r1_planning_final_report.txt,docs/liner/planning/r1-numeric-verification/integration_and_r1_planning_final_report.txt,2999,359d0a9603f7ac3401af7afd3588ae394e7d5ef8a9ca4f7e8e2d5ae81ff49b70,359d0a9603f7ac3401af7afd3588ae394e7d5ef8a9ca4f7e8e2d5ae81ff49b70,COPIED,NONE (already generalized),SAFE,integration_and_r1_planning_final_report.txt
ITM-009,~/Projects/liner-future-research/matrices/current_system_inventory.csv,docs/liner/planning/r1-numeric-verification/matrices/current_system_inventory.csv,3633,bdaec226b27eac93bb7a9d4d01eb89fdaf2d477c83e17a4d9cc147793889f6e0,bdaec226b27eac93bb7a9d4d01eb89fdaf2d477c83e17a4d9cc147793889f6e0,COPIED,NONE (already generalized),SAFE,matrices/current_system_inventory.csv
ITM-010,~/Projects/liner-future-research/matrices/gap_matrix.csv,docs/liner/planning/r1-numeric-verification/matrices/gap_matrix.csv,4801,896635882c91a90c90c2763a31c9ef9d3b2ab7579c5d1211ad8622fabf166d30,896635882c91a90c90c2763a31c9ef9d3b2ab7579c5d1211ad8622fabf166d30,COPIED,NONE (already generalized),SAFE,matrices/gap_matrix.csv
ITM-011,~/Projects/liner-future-research/matrices/jip_liner_feature_inventory.csv,docs/liner/planning/r1-numeric-verification/matrices/jip_liner_feature_inventory.csv,3815,8e14907df9e3cdc7d4dd0581b78facbfada2228ed703f88fa51116a9d493b1a4,8e14907df9e3cdc7d4dd0581b78facbfada2228ed703f88fa51116a9d493b1a4,COPIED,NONE (already generalized),SAFE,matrices/jip_liner_feature_inventory.csv
