asset_id,file_name,normalized_title,relative_source_path,source_root,extension,file_size_bytes,sha256,page_count,document_type,publisher_or_author,publication_or_project_date,project_name,edition_or_revision,text_layer_status,toc_status,ocr_required,road_relation,bridge_relation,liner_relation,spacer_relation,apollo_relation,rule_engine_relation,priority,duplicate_group_id,version_family_id,review_status,notes
DOC-X0-0001,26080_ApolloUIデザイン修正指示内容.odp,Apollo UIデザイン修正指示内容,26080_ApolloUIデザイン修正指示内容.odp,SR-01,.odp,462314,f4d9bb86f0b73e5206a99cf5c917114d8fd0ced0b34fcb00aa842949835805d3,,REFERENCE,,,,,,N/A,N/A,NONE,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,DIRECT,REFERENCE_ONLY,P3,,,PENDING,Apollo UIデザイン指示（ODP）。
DOC-X0-0002,README.md,README.md,Scope_of_Work/README.md,SR-05,.md,3241,775f08759102c99aa0421511fbb2c0e99ffc7f64a678bd2a5bb6962bcc365d88,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0003,final_report.txt,final_report.txt,Scope_of_Work/final_report.txt,SR-05,.txt,5449,ca3ce4c30ad3386b1ff04d7b5ef5fe44c4057030fe7e2001e6e4eb724492b523,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0004,file_mapping.csv,file_mapping.csv,Scope_of_Work/handoff/file_mapping.csv,SR-05,.csv,1687,e4da2dbfca03f1c0936579f3fbc681cd0e28635b024227143b95663d5f997a2b,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0005,integration_plan.md,integration_plan.md,Scope_of_Work/handoff/integration_plan.md,SR-05,.md,1722,d364b20d89d78dc3ba8242aa42ce8f358bb28fb870f29e56f7a719d88d6ae257,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0006,source_manifest.csv,source_manifest.csv,Scope_of_Work/source_manifest.csv,SR-05,.csv,4119,98b7d4fa9424823f7de7ed74e3fa77670f0ef783864148de96aa41aa9c271a97,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0007,01_repository_curved_capability_inventory.md,01_repository_curved_capability_inventory.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/01_repository_curved_capability_inventory.md,SR-05,.md,20301,c2b555d836e63b8340011a2b015fae1341d202275f45987caea1b5a199840376,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0008,02_required_source_categories.md,02_required_source_categories.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/02_required_source_categories.md,SR-05,.md,8368,764fd1028b45bc1d1eb075fe8e93c613cc00ba42180a2bc29a9fb3ce6d10716e,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0009,03_design_standard_requirements.md,03_design_standard_requirements.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/03_design_standard_requirements.md,SR-05,.md,3854,1bc915c75a43a20061345edaafff69c47b2092fff80bca710edf1b91424727cd,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0010,04_alignment_geometry_requirements.md,04_alignment_geometry_requirements.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/04_alignment_geometry_requirements.md,SR-05,.md,3424,f305c7dee9252a193a168354c2b3931f861f4c08f5950b5c5f1e405608582e14,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0011,05_structural_model_requirements.md,05_structural_model_requirements.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/05_structural_model_requirements.md,SR-05,.md,3465,523d06a5086451c7580938b4ef33e4bf0c558a6cd71430c3462b936ca510d87a,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0012,06_analysis_theory_requirements.md,06_analysis_theory_requirements.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/06_analysis_theory_requirements.md,SR-05,.md,3318,4d88421444e7a5a3a39f3a41ae023f6ace1220c8ba20b023bb5686c4177fb4f3,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0013,07_load_support_requirements.md,07_load_support_requirements.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/07_load_support_requirements.md,SR-05,.md,3282,8fa064f5e89a7c561be8db2ed4e1214573075b8c7239ad1e589ed6f122ba18c9,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0014,08_design_check_requirements.md,08_design_check_requirements.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/08_design_check_requirements.md,SR-05,.md,3745,fe7cbb3272ff875c81e0aea0bae95524d20fe6ff8dbd17727e22164a94ef2f70,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0015,09_calculation_example_requirements.md,09_calculation_example_requirements.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/09_calculation_example_requirements.md,SR-05,.md,3472,088c2f1091c45bb99ee6f871866d16b9e6b21c628869e376315c3fc560cdf8df,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0016,10_existing_source_inventory.md,10_existing_source_inventory.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/10_existing_source_inventory.md,SR-05,.md,19401,82458fd00157e7db37950cb53b8f5e76af2265d956c9b942bb266af78b186052,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0017,11_missing_source_register.md,11_missing_source_register.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/11_missing_source_register.md,SR-05,.md,7342,63247820c2ad8edfbef6f5f385bd39e6a99d07c1de91156e6204dbeddfd04b10,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
DOC-X0-0018,12_user_search_guide.md,12_user_search_guide.md,Scope_of_Work/step10_curved_bridge/phase0_pre_required_source_survey/12_user_search_guide.md,SR-05,.md,5397,a13d4aa1f92ac6de2d6ccee9028bc39b9022cea9569cf8e35238fb33a7e358cd,,RESEARCH_OUTPUT,,2026-08,曲線橋ソース調査,,,N/A,N/A,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,,,PENDING,Scope_of_Work（曲線橋含むソース調査）の成果物。
