candidate_id,rule_id,rule_title,source_asset_id,spec_complete,evidence_complete,api_complete,test_complete,liner_mapping_complete,road_bridge_mapping_complete,dependency_clear,x2_readiness,reason
CAND-01,RO-001;RO-002,道路区分決定,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,表1-1の値で実装可能
CAND-02,RO-003,設計速度決定,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,設計速度表で実装可能
CAND-03,RO-004,設計車両諸元,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,諸元表の確認のみ
CAND-04,RO-005;RO-006;RO-007,車線幅員決定,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,表セル一部要確認
CAND-05,RO-008;RO-009,中央帯幅員決定,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,表セル一部要確認
CAND-06,RO-010,路肩幅員決定,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,表セル一部要確認
CAND-07,RO-011〜RO-015,最小曲線半径照査,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,表3-5/3-6の値で実装可能
CAND-08,RO-016,最小曲線長照査,DOC-X0-0145,YES,NO,NO,NO,YES,NO,NO,NEEDS_RESEARCH,数値表が未取得
CAND-09,RO-017;RO-018;LIN-001;LIN-002,緩和区間・クロソイド設定,DOC-X0-0145;DOC-X0-0035,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,LINERのA要素設定に対応
CAND-10,RO-019;RO-020;RO-021,片勾配設定,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,最大片勾配10%/6%
CAND-11,RO-022;RO-023;RO-024;LIN-004,曲線部拡幅量,DOC-X0-0145;DOC-X0-0035,YES,NO,NO,NO,YES,NO,NO,NEEDS_RESEARCH,詳細式の確認が必要
CAND-12,RO-025;RO-026,視距照査,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,V=30の値要確認（UR-006）
CAND-13,RO-027,縦断勾配照査,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,表セル一部要確認
CAND-14,RO-028;RO-029;RO-030,縦断曲線設定,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,半径表・長さ表で実装可能
CAND-15,RO-031;RO-032;RO-033,横断勾配設定,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,1.5/2.0/3.0〜5.0%
CAND-16,RO-025;RO-026,視距・照査の警告出力,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,
CAND-17,LIN-006;LIN-007;PR-005,格点間距離・張り出し長,DOC-X0-0035;DOC-X0-0143,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,LDISTに対応
CAND-18,PR-002,ブレーキ測点補正,DOC-X0-0143,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,実案件で確認
CAND-19,LIN-008,座標変換,DOC-X0-0035,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,
CAND-20,RO-034;RO-035,例外ルール管理,DOC-X0-0145,YES,YES,YES,YES,YES,YES,YES,READY_FOR_IMPLEMENTATION,例外フレームワーク
CAND-21,RO-025,建築限界（要道示）,DOC-X0-0066,NO,NO,NO,NO,NO,NO,NO,BLOCKED,道示Ⅰのページ要OCR確認
