crosswalk_id,rule_id,apollo_candidate_id,candidate_layer,source_value,evidence_id,apollo_entity_id,entity_name,status,evidence_chain,confidence
BW-001,BR-002,SL_94_14,source,"斜角94°14'27""",EV-006,ENT_SUPPORT_PU15,PU15,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-002,PR-004,R_1900,source,R=1900(本線),EV-001,ENT_ALIGNMENT_ACL,ACL,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-003,PR-003,A_450,source,A=450(クロソイド),EV-001,ENT_ALIGNMENT_ACL,ACL,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-004,BR-001,SPAN_40201,source,支間40.201m,EV-006,ENT_SPAN,S1,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-005,BR-001,SPAN_51000,source,支間51.000m,EV-006,ENT_SPAN,S2,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-006,BR-004,GIRDER_AG1,source,主桁AG1,EV-007,ENT_GIRDER_AG1,AG1,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-007,BR-004,GIRDER_AG2,source,主桁AG2,EV-007,ENT_GIRDER_AG2,AG2,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-008,BR-001,WIDTH_8010,source,総幅員8.010m,EV-006,ENT_DECK,deck,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-009,BR-001,WIDTH_7000,source,有効幅員7.000m,EV-006,ENT_DECK,deck,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
BW-010,BR-002,BEARING_PU15,source,支承PU15,EV-009,ENT_SUPPORT_PU15,PU15,CANDIDATE,X1.5→Apollo,CROSS_CHECKED
