candidate_id,rule_id,title,knowledge_readiness,evidence_status,spec_complete,version,notes
CAND-01,RO-001;RO-002,道路区分決定,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-02,RO-003,設計速度決定,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-07,RO-011〜RO-015,最小曲線半径照査,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-09,RO-017;RO-018,緩和区間・クロソイド,READY_FOR_X2,FACT/CROSS_CHECKED,YES,v1.0,X2_P00
CAND-10,RO-019;RO-020;RO-021,片勾配設定,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-12,RO-025;RO-026,視距照査,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-13,RO-027,縦断勾配照査,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-14,RO-028;RO-029;RO-030,縦断曲線設定,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-15,RO-031;RO-032;RO-033,横断勾配設定,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-17,LIN-006;LIN-007,格点間距離・張り出し長,READY_FOR_X2,FACT,YES,v1.0,X2_P00
CAND-03,RO-004,設計車両諸元,READY_FOR_X2,FACT,YES,v1.0,X2_P01
CAND-04,RO-005;RO-006;RO-007,車線幅員決定,READY_FOR_X2,FACT,YES,v1.0,X2_P01
CAND-05,RO-008;RO-009,中央帯幅員決定,READY_FOR_X2,FACT,YES,v1.0,X2_P01
CAND-06,RO-010,路肩幅員決定,READY_FOR_X2,FACT,YES,v1.0,X2_P01
CAND-16,RO-025;RO-026,視距・照査の警告出力,READY_FOR_X2,FACT,YES,v1.0,X2_P01
CAND-18,PR-002,ブレーキ測点補正,READY_FOR_X2,FACT,YES,v1.0,X2_P01
CAND-19,LIN-008,座標変換,READY_FOR_X2,FACT,YES,v1.0,X2_P01
CAND-20,RO-034;RO-035,例外ルール管理,READY_FOR_X2,FACT,YES,v1.0,X2_P01
CAND-08,RO-016,最小曲線長照査,NEEDS_RESEARCH,FACT,NO,v1.0,数値表未取得
CAND-11,RO-022;RO-023;RO-024,曲線部拡幅量,NEEDS_RESEARCH,FACT,NO,v1.0,詳細式確認中
CAND-21,RO-025,建築限界,BLOCKED,UNRESOLVED,NO,-,道示ページ要OCR
