rule_id,rule_title,x2_readiness,x3_status,implementation_files,formula_implemented,validation_implemented,error_code_implemented,trace_implemented,unit_test,project_replay_test,geometry_interface,road_bridge_interface,notes
X2-R-001,道路区分決定,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/road_classification.py,YES,YES,YES,YES,UNIT,PROJECT_REPLAY,-,-,
X2-R-002,設計速度決定,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/design_speed.py,YES,YES,YES,YES,UNIT,PROJECT_REPLAY,-,-,
X2-R-003,設計車両諸元,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/design_vehicle.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-004,車線幅員決定,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/lane_width.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-005,中央帯幅員決定,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/median.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-006,路肩幅員決定,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/shoulder.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-007,最小曲線半径照査,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/curve_radius.py,YES,YES,YES,YES,UNIT,PROJECT_REPLAY,-,-,実案件R=1900/320確認
X2-R-008,緩和区間・クロソイド,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/transition_curve.py,YES,YES,YES,YES,UNIT,PROJECT_REPLAY,-,-,
X2-R-009,片勾配設定,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/superelevation.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-010,視距照査,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/sight_distance.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-011,縦断勾配照査,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/longitudinal_grade.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-012,縦断曲線設定,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/vertical_curve.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-013,横断勾配設定,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/cross_slope.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-014,視距照査警告出力,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/validation.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-015,格点間距離・張り出し長,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/grid_point.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-016,ブレーキ測点補正,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/station.py,YES,YES,YES,YES,UNIT,PROJECT_REPLAY,-,-,実案件補正確認
X2-R-017,座標変換,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/coordinate_transform.py,YES,YES,YES,YES,UNIT,-,-,-,
X2-R-018,例外ルール管理,READY_FOR_IMPLEMENTATION,IMPLEMENTED,rules/exception.py,YES,YES,YES,YES,UNIT,-,-,-,
CAND-08,最小曲線長照査,NEEDS_RESEARCH,NEEDS_RESEARCH,-,NO,NO,NO,NO,-,-,-,-,数値表未取得
CAND-11,曲線部拡幅量,NEEDS_RESEARCH,NEEDS_RESEARCH,-,NO,NO,NO,NO,-,-,-,-,詳細式確認中
CAND-21,建築限界,BLOCKED,BLOCKED,-,NO,NO,NO,NO,-,-,-,-,道示ページ要OCR
