rule_id,x2_readiness,x3_status,spec,test,trace,x4_gate
X2-R-001,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-002,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-007,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-003,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-004,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-005,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-006,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-008,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-009,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-010,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-011,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-012,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-013,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-014,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-015,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-016,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-017,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
X2-R-018,READY_FOR_IMPLEMENTATION,IMPLEMENTED,PASS,PASS,PASS,GO
CAND-08,NEEDS_RESEARCH,NEEDS_RESEARCH,-,-,-,HOLD
CAND-11,NEEDS_RESEARCH,NEEDS_RESEARCH,-,-,-,HOLD
CAND-21,BLOCKED,BLOCKED,-,-,-,BLOCK
